                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 0.8309,                0.54366,                  1.071,                0.94526,                0.97024,                0.98182,                0.77433,                0.82109,                0.34343,                 1.2182,               0.005809,               0.005809,               0.005809
                    129,                0.83282,                0.54166,                 1.0669,                0.93696,                  0.981,                0.98198,                0.77388,                0.81604,                 0.3422,                 1.2132,               0.005776,               0.005776,               0.005776
                    130,                0.83158,                0.53438,                 1.0697,                0.93921,                0.97159,                0.97982,                0.77364,                 0.8172,                0.34592,                 1.2155,               0.005743,               0.005743,               0.005743
                    131,                0.83565,                0.54128,                 1.0705,                0.94231,                0.97421,                0.98071,                0.77564,                0.81582,                0.34264,                 1.2156,                0.00571,                0.00571,                0.00571
                    132,                0.82774,                0.53798,                 1.0675,                0.94424,                0.95956,                0.97957,                0.77232,                0.81691,                0.34645,                 1.2152,               0.005677,               0.005677,               0.005677
                    133,                0.82525,                0.53849,                 1.0711,                 0.9356,                 0.9694,                 0.9797,                0.77254,                0.81328,                0.34209,                 1.2128,               0.005644,               0.005644,               0.005644
                    134,                0.82699,                0.53067,                 1.0726,                0.94452,                0.96986,                0.98084,                0.77394,                0.81408,                 0.3416,                 1.2135,               0.005611,               0.005611,               0.005611
                    135,                0.82233,                0.53201,                 1.0623,                0.94694,                0.96751,                0.97809,                0.77354,                0.81252,                 0.3439,                 1.2109,               0.005578,               0.005578,               0.005578
                    136,                0.82892,                 0.5333,                   1.07,                0.93806,                0.96719,                 0.9785,                0.77311,                 0.8095,                 0.3395,                 1.2091,               0.005545,               0.005545,               0.005545
                    137,                 0.8191,                 0.5284,                 1.0641,                0.95067,                0.95716,                0.97941,                 0.7752,                0.81128,                0.34094,                 1.2121,               0.005512,               0.005512,               0.005512
                    138,                0.81698,                0.51972,                  1.064,                0.93416,                0.97344,                0.97826,                0.77343,                0.81377,                0.34071,                 1.2113,               0.005479,               0.005479,               0.005479
                    139,                0.82235,                0.53273,                 1.0636,                0.94449,                 0.9723,                0.98088,                0.77646,                0.81369,                 0.3404,                 1.2127,               0.005446,               0.005446,               0.005446
                    140,                0.81962,                0.52839,                 1.0599,                0.94859,                0.96976,                0.97973,                0.77494,                0.81286,                0.34077,                  1.212,               0.005413,               0.005413,               0.005413
                    141,                0.82072,                0.53072,                 1.0667,                0.94421,                0.96628,                0.97768,                0.77451,                0.81421,                0.34293,                 1.2129,                0.00538,                0.00538,                0.00538
                    142,                0.81818,                0.53125,                 1.0637,                0.93692,                0.97001,                0.97833,                 0.7745,                0.81172,                0.34278,                 1.2098,               0.005347,               0.005347,               0.005347
                    143,                0.81713,                 0.5302,                  1.065,                 0.9368,                0.96518,                0.97635,                0.77143,                0.81071,                0.34269,                 1.2098,               0.005314,               0.005314,               0.005314
                    144,                0.81261,                0.52298,                 1.0637,                0.93946,                 0.9724,                0.97831,                0.77311,                0.81298,                0.34177,                 1.2079,               0.005281,               0.005281,               0.005281
                    145,                0.81727,                0.52844,                 1.0633,                0.94835,                0.97136,                0.97961,                0.77572,                0.80987,                0.33761,                 1.2067,               0.005248,               0.005248,               0.005248
                    146,                0.81158,                0.52293,                 1.0613,                0.93685,                0.97548,                0.97744,                0.77654,                0.80352,                0.33733,                 1.2021,               0.005215,               0.005215,               0.005215
                    147,                0.80979,                0.51979,                 1.0546,                0.93937,                0.97452,                0.97788,                0.77486,                0.80351,                0.33683,                 1.2036,               0.005182,               0.005182,               0.005182
                    148,                0.81161,                0.52203,                 1.0609,                0.93713,                0.97738,                0.97965,                0.77679,                0.80366,                0.33809,                 1.2046,               0.005149,               0.005149,               0.005149
                    149,                0.80933,                0.52357,                 1.0579,                 0.9483,                 0.9644,                 0.9799,                0.77565,                0.81032,                0.33783,                 1.2082,               0.005116,               0.005116,               0.005116
                    150,                0.81143,                 0.5204,                 1.0586,                0.94452,                0.96683,                0.97993,                0.77828,                0.80568,                0.33698,                 1.2051,               0.005083,               0.005083,               0.005083
                    151,                0.80715,                0.51688,                 1.0622,                0.94021,                0.97445,                0.97871,                0.77823,                0.80758,                0.33627,                 1.2058,                0.00505,                0.00505,                0.00505
                    152,                0.80463,                0.51351,                 1.0496,                0.94769,                0.96398,                0.97846,                0.77565,                0.80926,                0.33609,                  1.208,               0.005017,               0.005017,               0.005017
                    153,                0.80502,                0.52051,                 1.0547,                0.92942,                 0.9841,                0.97844,                0.77725,                0.80524,                0.33721,                 1.2071,               0.004984,               0.004984,               0.004984
                    154,                0.80285,                 0.5151,                 1.0573,                0.93647,                 0.9726,                0.97765,                0.77581,                0.80641,                0.33721,                  1.208,               0.004951,               0.004951,               0.004951
                    155,                0.80626,                0.51921,                 1.0513,                0.94385,                0.96881,                0.97938,                0.77833,                0.80428,                0.33719,                  1.206,               0.004918,               0.004918,               0.004918
                    156,                0.79539,                0.51281,                 1.0482,                0.94996,                0.95873,                0.97936,                0.77834,                0.79953,                0.33695,                 1.2032,               0.004885,               0.004885,               0.004885
                    157,                0.80136,                0.51377,                 1.0521,                0.95496,                0.95758,                0.97904,                0.77783,                0.80134,                0.33638,                 1.2044,               0.004852,               0.004852,               0.004852
                    158,                0.79841,                0.51062,                  1.058,                0.95022,                 0.9601,                0.97937,                0.77815,                0.80396,                0.33661,                 1.2055,               0.004819,               0.004819,               0.004819
